Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, pagination, cost, review [and review [and …]], comments
93 65.32(2).19 M. Presziger, Wegweiser zum Ausffinden der Sternbilder, Schwäbisch Hall, E. Schwend KG, 1964, 16 pp and 10 star tables, DM5.40, Coelum 3 194 and Orion Schaffhausen 10 239, 

94 65.36(0).27 A. C. Gardner and W. G. Creelman, Navigation, Oxford, Pergamon Press, 1965, 251 pp, 30s, J. Inst. Navigation 19 127, 

95 65.36(0).55 I. I. Mueller, Introduction to Satellite Geodesy, New York, Frederick Ungar Publications Co., 1964, 21+415 pp, $15.00, Obs 85 267 and Space Sci. Rev. 5 880 and Z. Geophys. 31 281, 

96 65.36(0).56 W. Myerscough and W. Hamilton, Rapid Navigation Tables for Mariners, London, I. Pitman & Sons, 1965, 4+195 pp, 50 s, J. Inst. Navigation 18 543, 

97 65.21(0).06 R. L. Barnard, How to Build an Astronomical Telescope, Wellington-Auckland, A. H. & A. W. Reed, 1965, 28 pp, 6/--, Southern Stars 21 125, 

98 65.21(0).13 J. Borgman, Het Experiment in de Sterrenkunde, Groningen, J. B. Wolters, 1965, 16 pp, hfl 1.90, HeD 63 261, 

99 65.21(0).23 J. van Diggelen, Zelf Sterren Kijken, Amsterdam, G. J. A. Ruys, 1965, 274 pp, hfl 14.90, HeD 64 50, 

100 65.21(0).27 I. M. Freeman, All About Light and Radiation, New York, Random House Inc., 1965, 142 pp, $1.95, Sky Tel. 31 42 and Sky Tel. 31 295, 

101 65.21(0).91 , Neue Technik in der Astronomie: Unterlagen Konferenz Kommission Instrumentenbau Astr. Rat. Akad. Wiss. UdSSR, Moskau-Leningrad, <<Nauka>>, 1965, 63 pp, 34 Kop., , 

102 65.22(1).48 G. D. Roth ed., Refraktor-Selbstbau, München, UNI-Druck, 1965, 34 pp, DM 18.50, , 

103 65.22(6).190 , Radioteleskope, Moskau, <<Nauka>>, 1965, 216 pp, 1R., , 

104 65.25(0).09 L. Larmore, Introduction to Photographic Principles, New York, Dover Publications, 1965, 8+229 pp, $1.50, Coelum 34 22 and J. Astronaut. Sci. 13 131 and Sky Tel. 31 42, 2nd edition;

105 65.25(0).15 F. W. Voigt, Enna-Taschenbuch, München, Heering-Verlag, 1964, 192 pp, DM 12.80, SuW 5 46, 

106 65.11(0).01 I. Asimov, Of Time and Space and other Things, New York, Doubleday & Co. Inc., 1965, 204 pp, $4.50, Sky Tel. 30 102, 

107 65.11(0).02 U. Becker, Over Sterren Gesproken, Haarlem, Drukkerij De Spaarnestad, 1965, 84 pp, hfl 6.90, HeD 64 50, translated from German by C. A. A. Jongeling;in Dutch;

108 65.11(0).03 D. Beragamini, Life Wunder der Natur <<Das Weltall>>, , , 1964, 192 pp, DM 19.80, SuW 4 259, translated from English by H.-H. Wellmann;

109 65.11(0).04 A. Boischot, La Radioastronomie, Paris, Presses Universitaires de France, 1965, 128 pp, NF 3.20, Ann d’Astrophys 29 409 and Sky Tel. 31 168, 

110 65.11(0).05 J. A. Coleman, Hur Uppstod Universum, , Bokförlaget Prisma, 1965, 198 pp, KR. 8:50, , 

111 65.11(0).06 M. M. Dagajew, Aufgabensammlung und Praktikum zum Kurs für allgemeine Astronomie; Zum Fernstudium für Studenten der physikalisch-mathematischen Fakultäten Pädagogischer Institute, Moskau, <<Prosweschteschenije>>, 1965, 140 pp, 18 Kop., , 

112 65.11(0).07 D. Dietz, All About the Universe, New York, Random House Inc., 1965, 144 pp, $1.95, Sky Tel. 29 378 and Sky Tel. 30 96, 

113 65.11(0).09 W. Forsling, Från Atomkärnor till Stjärnsystem, Stockholm, Natur och Kultur Bokförlaget, 1965, 121 pp, Kr. 10:50, , 

114 65.11(0).10 G. Gamow, Matter comma Earth comma and Sky, Englewood Cliffs NJ, Prentice-Hall, 1965, 14+624 pp, $11.65, Phys. Today 18 Nr. 11 63 and Publ. ASP 78 266, 2nd edition;

115 65.11(0).11 M. Grau, Raum comma Zeit comma Ewigkeit, München, Verlag J. Pfeiffer, 1965, 192 pp, DM 9.80, VdS Nachr. 15 58, 

116 65.11(0).12 A. E. S Green and P. J. Wyatt, Atomic and Space Physics, Reading, Addison-Wesley Publishing Company Inc., 1965, 16+619 pp, $18.75, Science 150 1019, 

117 65.11(0).13 W. –D. Heintz, Kliene Himmelskunde; Eine Einführung in die Grundlagen der Astronomie, Minden (Westf.), Albrecht Philler Verlag, 1965, 112 pp, DM 3.00, SuW 4 181 and VdS Nachr. 14 74, 

118 65.11(0).14 G. Honegger and P. van de Kamp, Universum, Stockholm, Generalstabens Litografiska Anstalt, 1965, 120 pp, Kr 8:50, , 

119 65.11(0).15 F. Hoyle, Galaxies comma Nuclei comma and Quasars, New York, Harper and Row, 1965, 10+160 pp, $3.95, Science 15 1708 and Sky Tel. 31 297 and Strolling Astr. 19 164, 

120 65.11(0).16 A. K Lawruchina and G. M. Kolessow, Isotope im Weltall, Moskau, Atom-Verlag, 1965, 240 pp, 34 Kop., RJ UdSSR 1966 2.51.41, 

121 65.11(0).17 D. J. Martynow, Lehrgang der allgemeinen Astrophysik; Lehrbuch für Universitäten, Moskau, <<Nauka>>, 1965, 591 pp, 1R. 31 Kop., Ann d’Astrophys 29 311, 

