Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
97 58.05(0).81 E. Hutchings jr. ed., Frontiers in Science, New York, Basic Books Inc., 1958, 362 pp, $6.00, Sky Tel. 17 525, 

98 58.05(0).82 , Universum comma Natur och Kultur, Stockholm, , 1958, 172 pp, Kr. 22.50, PAT 39 170, 

99 58.05(0).83 , Das Universum comma Unser Bild vom Weltall, Wiesbaden, Rheinische Verlags-Anstalt, 1958, 216 pp, DM 8.80, , reprint of AJB 57.05.76;translated  by A. Bruzek;

100 58.06(0).06 A. D. Bonoff, Gibt es Leben auf den Planeten?, Sofia, NSOF, 1957, 60 pp, 1.50 Lw, , in Bulgarian;

101 58.06(0).08 J. P. Bujanda, Astonomía y astros habitados, Madrid-Razón y Fe, Ed. Fax., 1957, 284 pp, , , 

102 58.06(0).17 G. Gamow, The Creation of the Universe, New York, New American Library, 1957, 144 pp, $0.50, , 

103 58.06(0).18 L. Golosnizkij, Leben auf anderen Planeten, Kischinew, , 1957, 59 pp, 85 Kop., , in Moldavian;

104 58.06(0).19 T. Hall, Vår tids stjärsång – en naturvetenskaplig studie omkring Harry Martinsons Aniara, Stockholm, Bonniers, 1958, 61 pp, Schw. Kr. 7.50, PAT 39 81, 

105 58.06(0).22 I. Jewgenjew and L. Kusnezowa, Um den Feuerstein, Moskau, Geograph. Staatsverlag, 1958, 214 pp, , AJ UdSSR 36 380, in Russian;

106 58.06(0).23 H. Spencer-Jones, Life on Other Worlds, Belgrad, <<Nolit>>, 1957, 186 pp, , , reprint of AJB 50.06.20;

107 58.06(0).24 H. Spencer-Jones, La vie sur d’autres mondes?, Paris, Dunod, 1957, 10+180 pp, Fr. 680, BSAF 72 385, reprint of AJB 50.06.20;translated from English by C. Mamontoff;

108 58.06(0).28 R. W. Kunizkij, Gab es einen Anfang der Welt?, , Tschuwaschischer Staatsverlag, 1956, 30 pp, 45 Kop, , in tschuwasch;

109 58.06(0).33 W. A. Mesenzew, <<Rätsel>> des Himmels, Moskau, Ges. Verbreitung polit. wiss. Kenntnisse Russ. Sowjetrepublik, 1958, 48 pp, 80 Kop., , in Russian;

110 58.06(0).35 T. Moreux, Serão habitados os outros mundos?, Salvador, Liv. Progresso, 1956, 139 pp, 90.00 curz., , translated from French;

111 58.06(0).38 N. Nikoloff, Gab es einen Anfang der Welt und wird es ein Ende geben?, Sofia, NSOF, 1956, 36 pp, 1.50 Lw., , in Bulgarian;

112 58.06(0).39 A. Oparin and W. G. Fessenkow, Leben im Weltall, Moskau, Verlag für Literatur in ausländischen Sprachen, 1958, 302 pp, 8 R., , in Korean;

113 58.06(0).41 S. Paturso, I viaggi proibiti; L’uomo non andrà mai sulla  luna nè sugli altri pianeti, Catania, <<Edizioni Camene>>, 1958, 142 pp, L 1000, , 

114 58.06(0).46 I. M. Sabelin, Astrogeographie comma ihr Gegenstand und ihre Aufgaben, Moskau, Geograph. Staatsverlag, 1958, 63 pp, 1R. 50 Kop., , in Russian;

115 58.06(0).52 H. Shapley, Of Stars and Men; The Human Response to an Expanding Universe, Boston, Beacon Press, 1958, 7+145 pp, $3.50 and 15s, Nature Nr. 4688 3 and Science 128 295 and Sky Tel. 17 525 and Sky Tel. 18 39 and Urania København 15 54, also published London: Elek Books Ltd.;

116 58.06(0).53 P. Slavenas, Ist Leben im Weltall möglich?, Vilnius, Valst. polit. moksl. lit. leidykla, 1957, 60 pp, 90 Kop, , in Lituanian;

117 58.06(0).57 R. Thiel, And there was Light, Toronto, McClelland Stewart Ltd., 1957, , $7.50, J RAS Canada 53 184, other see also AJB 57.06.44; 

118 58.07(0).58 R. Thiel, Och det vart ljus, Stockholm, Albert Bonniers förlag, 1958, 363 pp, Kr. 44.50, PAT 39 170, other see also AJB 58.06.57; 

119 58.06(0).61 E. Zinner, The Stars Above Us, , , , , , Science 127 243, reference AJB 57.06.54;

120 58.06(0).62 E. Zinner, El Mundo de las Estrellas, Barcelona, Editorial Herder, 1958, 222 pp, , , reprint of AJB 53.06.38;translated  by E. Valenti;

121 58.06(0).64 H. E. Landsberg ed., Advances in Geophysics vol. 3, , , , , , J. British Interplanetary Soc. 17 112, reference AJB 56.06.47;

122 58.06(0).65 H. E. Landsberg and J. van Mieghem ed., Advances in Geophysics vol. 4, New York, Academic Press Inc., 1958, 10+456 pp, $12.00, J. appl. Phys. 29 1135, 

123 58.07(0).01 K. Heinemann and F. Henn and W. Lohmann ed., Astronomischer Jahresbericht Band 56, Berlin, W. de Gruyter Co., 1958, 37+503 pp, DM 60, , 

124 58.07(0).20 A. Beer ed., Vistas in Astronomy vol. 1, , , , , , Naturwissenschaften 45 426, reference AJB 56.07.32;

125 58.07(0).20 A. Beer ed., Vistas in Astronomy vol. 2, , , , , , Naturwissenschaften 45 426, reference AJB 57.07.38;

126 58.07(0).21 , The Encyclopedia of Radio and Television, New York, Philosophical Library, 1958, , , Strolling Astronomer 12 68, 2nd edition;

127 58.07(0).24 A. Carugo and L. Geymonat, G. Galilei comma Discorsi e dimostrazioni matematiche intorno a due nuove scienze attenenti alla meccanica et i movimenti locali, Torino, Boringhieri, 1958, 28+887 pp, L. 7000, Coelum 26 148, 

128 58.07(0).25 H. Gartmann, Econ Weltraum ABC, Düsseldorf, Econ Verlag GmbH, 1958, 232 pp, DM 6.80, Weltraumfahrt 1958 127, 

129 58.07(0).26 K. Kaltschajew, Russisch—turmenisches Wörterbuch astronomischer Ausdrücke, Aschchabad, Akad. Wiss. Turkmen. Sowjetrepublik, 1958, 104 pp, 3R. 10 Kop., , 

130 58.10(0).04 A. Armitage, Copernicus, , , , , , El Universo Nr. 46 46 and Science 127 972, reference AJB 57.10.07;

131 58.10(0).14 H. Hartl, Hermann Oberth – Vorkämpfer der Weltraumfahrt, Hannover, Theodor Oppermann Verlag, 1958, 239 pp, DM 16.80, VdS Nachr. 7 78 and Weltraumfahrt 1958 125, 

132 58.10(0).19 I. Jewgenjew and L. M. Kusnezowa, Über den Begründer der sowjetischer Meteoritik E. A. Kulik, Moskau, Geograph. Staatsverlag, 1958, 213 pp, 4R. 80 Kop., , in Russian;

133 58.10(0).22 L. W. Mirsojan and E. S. Wlassjan and S. S. Jasytschjan, Victor Amasaspowitsch Ambarsumjan, Erewan, Verlag Akad. Wiss. Armen. Sowjetrepublik, 1958, 121 pp, 2R., , in Armenian;

134 58.10(0).28 S. Rosen, Galileo and the Magic Numbers, Boston, Little comma Brown & Co., 1958, 212 pp, $3.50, Sky Tel. 17 306 and Sky Tel. 17 416, 

135 58.10(0).42 I. B. Cohen ed., Isaac Newton’s Papers & Letters on Natural Philosophy, Cambridge MA, Harvard University Press, 1958, 501 pp, $12.50, Sky Tel. 17 648 and Sky Tel. 18 102, 

136 58.11(3).55 N. G. Roman ed., Comparison of the Large-Scale Structure of the Galactic System with that of other Stellar Systems, London, Cambridge University Press, 1958, 7+72 pp, 15s, Ann d’Astrophys 21 162 and Obs 78 218 and Publ ASP 70 517 and Science 128 1500 and Sky Tel. 17 525 and ZfA 47 266, other IAU Symp 5; 

137 58.11(3).56 , Fachkonferenz Radioastronomie, Berlin, Akademie-Verlag, 1958, , DM 16.00, Gaz astr 40 30 and ZfA 47 210, 

138 58.11(3).57 E. F. Carpenter ed., Transactions of the Conference on the Use of Solar Energy – The Scientific Basis Vol. 1-5, Tucson, University of Arizona Press, 1958, 16+135 pp and 14+265 pp and 10+169 pp and 12+187 pp and 7+132 pp, $12.50, , 

139 58.11(3).60 B. Lehnert ed., Electromagnetic Phenomena in Cosmical Physics, London, Cambridge University Press, 1958, 13+545 pp, $10.00, Ann d’Astrophys 22 288 and Nuovo Cimento (10) 11 471 and Proc. Phys. Soc. 74 494 and Publ ASP  71 248 and Sky Tel. 18 344 and ZfA 48 303, other IAU Symp 6; 

